       FUNCTION                                                     SCORE    LoC   ULoC    CC    DE   DFC   LOCATION
 148   hybrid_authenticator_create                                   0.07     54     -     19     9     0   src/libcharon/sa/ikev1/authenticators/hybrid_authenticator.c:80
 149   authenticator_create_verifier                                 0.07     46     -     13     9     1   src/libcharon/sa/authenticator.c:84
 150   openssl_pkcs12_load                                           0.07    155     -     43     4     0   src/libstrongswan/plugins/openssl/openssl_pkcs12.c:287
 151   host_create_from_string                                       0.06    105     -     37     3     2   src/libstrongswan/networking/host.c:419
 152   stream_create_unix                                            0.06     66     -     22     6     2   src/libstrongswan/networking/streams/stream_unix.c:46
 153   chunk_map                                                     0.06     55     -     16     9     0   src/libstrongswan/utils/chunk.c:341
 154   host_create_from_string_and_family                            0.06    103     -     36     3     2   src/libstrongswan/networking/host.c:350
 155   pgp_read_packet                                               0.06     60     -     16     9     0   src/libstrongswan/plugins/pgp/pgp_utils.c:143
 156   key_exchange_init                                             0.06     64     -     15     9     0   src/libstrongswan/crypto/key_exchange.c:539
 157   authenticator_create_builder                                  0.06     40     -     10     9     1   src/libcharon/sa/authenticator.c:57
 158   asn1_to_time                                                  0.06     76     -     35     0     5   src/libstrongswan/asn1/asn1.c:356
 159   calculate_lifetime                                            0.06     41     -     14     9     0   src/pki/pki.c:167
 160   message_create_defrag                                         0.06     39     -      9     9     1   src/libcharon/encoding/message.c:3240
 161   load_authorities_cfg                                          0.06    168     -     38     3     1   src/swanctl/commands/load_authorities.c:257
 162   plugin_feature_get_string                                     0.06    155     -     58     0     0   src/libstrongswan/plugins/plugin_feature.c:280
 163   vici_submit                                                   0.06     59     -     13     9     0   src/libcharon/plugins/vici/libvici.c:370
 164   pem_encoder_encode                                            0.06    127     -     27     4     2   src/libstrongswan/plugins/pem/pem_encoder.c:26
 165   pkcs1_encoder_encode                                          0.06     98     -     27     6     0   src/libstrongswan/plugins/pkcs1/pkcs1_encoder.c:163
 166   netlink_socket_create                                         0.06     49     -     16     8     0   src/libcharon/plugins/kernel_netlink/kernel_netlink_shared.c:682
 167   tun_device_create                                             0.06     67     -     16     5     3   src/libstrongswan/networking/tun_device.c:634
 168   traffic_selector_printf_hook                                  0.06    123     -     36     2     2   src/libstrongswan/selectors/traffic_selector.c:211
 169   mark_from_string                                              0.06     58     -     21     7     0   src/libstrongswan/ipsec/ipsec_types.c:74
 170   chunk_to_base64                                               0.06     30     -      6    10     0   src/libstrongswan/utils/chunk.c:591
 171   sshkey_encoder_encode                                         0.06    117     -     30     4     1   src/libstrongswan/plugins/sshkey/sshkey_encoder.c:152
 172   enum_flags_from_string_as_int                                 0.06     51     -     20     7     0   src/libstrongswan/utils/enum.c:187
 173   asn1_algorithmIdentifier                                      0.06    126     -     34     3     1   src/libstrongswan/asn1/asn1.c:47
 174   keymat_create                                                 0.06     34     -      9     9     0   src/libcharon/sa/keymat.c:27
 175   plugin_loader_create                                          0.06     31     -      8     9     0   src/libstrongswan/plugins/plugin_loader.c:1472
 176   scep_parse_response                                           0.06     78     -     23     5     1   src/pki/scep/scep.c:455
 177   pgp_public_key_load                                           0.05     86     -     22     6     0   src/libstrongswan/plugins/pgp/pgp_builder.c:213
 178   mkdir_p                                                       0.05     47     -     16     6     1   src/libstrongswan/utils/utils/path.c:169
 179   netlink_event_socket_create                                   0.05     46     -     11     8     0   src/libcharon/plugins/kernel_netlink/kernel_netlink_shared.c:792
 180   pkcs12_derive_key                                             0.05    116     -     41     0     2   src/libstrongswan/credentials/containers/pkcs12.c:153
 181   settings_value_as_time                                        0.05     46     -     15     7     0   src/libstrongswan/settings/settings.c:696
 182   traffic_selector_create_from_rfc3779_format                   0.05     60     -     25     3     2   src/libstrongswan/selectors/traffic_selector.c:748
 183   pkcs8_private_key_load                                        0.05    153     -     39     1     1   src/libstrongswan/plugins/pkcs8/pkcs8_builder.c:239
 184   proposal_keywords_create                                      0.05     21     -      4     9     0   src/libstrongswan/crypto/proposal/proposal_keywords.c:181
 185   settings_kv_set                                               0.05     75     -     34     1     2   src/libstrongswan/settings/settings_types.c:96
 186   mem_cred_create                                               0.05     21     -      4     9     0   src/libstrongswan/credentials/sets/mem_cred.c:888
 187   stream_manager_create                                         0.05     27     -      4     9     0   src/libstrongswan/networking/streams/stream_manager.c:234
 188   identification_create_from_sockaddr                           0.05     90     -     29     3     1   src/libstrongswan/utils/identification.c:2028
 189   fetcher_manager_create                                        0.05     21     -      4     9     0   src/libstrongswan/fetcher/fetcher_manager.c:204
 190   libcharon_deinit                                              0.05     84     -     29     4     0   src/libcharon/daemon.c:980
 191   ocsp_responders_create                                        0.05     21     -      4     9     0   src/libstrongswan/credentials/ocsp_responders.c:103
 192   timespan_from_string                                          0.05     40     -     13     7     0   src/libstrongswan/utils/utils/time.c:86
 193   enumerator_create_glob                                        0.05     46     -     13     7     0   src/libstrongswan/collections/enumerator.c:246
 194   plugin_loader_add_plugindirs                                  0.05     30     -      8     6     2   src/libstrongswan/plugins/plugin_loader.c:1511
 195   mem_pool_create                                               0.05     70     -     17     5     1   src/libcharon/attributes/mem_pool.c:663
 196   dnskey_encoder_encode                                         0.05     60     -     17     4     2   src/libstrongswan/plugins/dnskey/dnskey_encoder.c:80
 197   command_dispatch                                              0.05    136     -     41     0     1   src/pki/command.c:284
 198   chunk_from_hex                                                0.05     57     -     21     4     1   src/libstrongswan/utils/chunk.c:527
 199   identification_create_from_encoding                           0.05     70     -     25     3     1   src/libstrongswan/utils/identification.c:2012
 200   enumerator_create_directory                                   0.05     54     -     15     5     1   src/libstrongswan/collections/enumerator.c:152
 201   mem_pool_create_range                                         0.05     42     -     15     3     3   src/libcharon/attributes/mem_pool.c:722
 202   openssl_aead_create                                           0.05     96     -     30     3     0   src/libstrongswan/plugins/openssl/openssl_aead.c:235
 203   asn1_algorithmIdentifier_params                               0.05    104     -     25     3     1   src/libstrongswan/asn1/asn1.c:39
 204   asn1_unwrap                                                   0.05     37     -     10     7     0   src/libstrongswan/asn1/asn1.c:306
 205   traffic_selector_create_from_subnet                           0.05     54     -     20     3     2   src/libstrongswan/selectors/traffic_selector.c:781
 206   host_printf_hook                                              0.05     50     -     14     1     5   src/libstrongswan/networking/host.c:105
 207   plugin_feature_matches                                        0.04     66     -     42     0     0   src/libstrongswan/plugins/plugin_feature.c:155
 208   traffic_selector_create_from_bytes                            0.04     53     -     22     3     1   src/libstrongswan/selectors/traffic_selector.c:722
 209   settings_kv_destroy                                           0.04     70     -     27     1     2   src/libstrongswan/settings/settings_types.c:36
 210   load_pools_cfg                                                0.04    134     -     31     2     0   src/swanctl/commands/load_pools.c:198
 211   ts_payload_create_from_traffic_selectors                      0.04     61     -     11     6     0   src/libcharon/encoding/payloads/ts_payload.c:313
 212   array_insert_enumerator                                       0.04     68     -     26     1     2   src/libstrongswan/collections/array.c:302
 213   pkcs7_attributes_create_from_chunk                            0.04     43     -     11     6     0   src/libstrongswan/plugins/pkcs7/pkcs7_attributes.c:274
 214   task_manager_create                                           0.04     51     -     10     6     0   src/libcharon/sa/task_manager.c:89
 215   proposal_has_additional_ke                                    0.04     30     -     10     6     0   src/libstrongswan/crypto/proposal/proposal.c:1460
 216   testable_function_register                                    0.04     82     -     25     3     0   src/libstrongswan/utils/test.c:45
 217   pkcs7_encrypted_data_load                                     0.04     73     -     20     4     0   src/libstrongswan/plugins/pkcs7/pkcs7_encrypted_data.c:210
 218   memxor                                                        0.04     27     -     10     6     0   src/libstrongswan/utils/utils/memory.c:24
 219   array_insert                                                  0.04     62     -     24     1     2   src/libstrongswan/collections/array.c:313
 220   array_remove_at                                               0.04     80     -     29     0     2   src/libstrongswan/collections/array.c:273
 221   metadata_factory_create                                       0.04     36     -      9     6     0   src/libstrongswan/metadata/metadata_factory.c:102
 222   pgp_read_mpi                                                  0.04     36     -      9     6     0   src/libstrongswan/plugins/pgp/pgp_utils.c:98
 223   openssl_rsa_public_key_load                                   0.04     74     -     23     3     0   src/libstrongswan/plugins/openssl/openssl_rsa_public_key.c:531
 224   vici_register                                                 0.04     48     -     13     5     0   src/libcharon/plugins/vici/libvici.c:692
 225   plugin_constructor_register                                   0.04     78     -     23     3     0   src/libstrongswan/plugins/plugin_loader.c:323
 226   asn1_oid_from_string                                          0.04     58     -     18     3     1   src/libstrongswan/asn1/asn1.c:158
 227   asn1_wrap                                                     0.04     80     -     17     3     1   src/libstrongswan/asn1/asn1.c:877
 228   array_remove                                                  0.04     75     -     27     0     2   src/libstrongswan/collections/array.c:380
 229   cpu_feature_available                                         0.04     51     -     12     4     1   src/libstrongswan/utils/cpu_feature.c:156
 230   eap_payload_create_nak                                        0.04     61     -     17     3     1   src/libcharon/encoding/payloads/eap_payload.c:412
 231   asn1_integer                                                  0.04     57     -     12     4     1   src/libstrongswan/asn1/asn1.c:840
 232   proposal_create                                               0.04     20     -      6     6     0   src/libstrongswan/crypto/proposal/proposal.c:1013
 233   if_id_from_string                                             0.04     29     -     11     5     0   src/libstrongswan/ipsec/ipsec_types.c:198
 234   key_exchange_verify_pubkey                                    0.04     77     -     36     0     0   src/libstrongswan/crypto/key_exchange.c:637
 235   cpu_feature_get_all                                           0.04     49     -     11     4     1   src/libstrongswan/utils/cpu_feature.c:104
 236   child_sa_create                                               0.04     68     -     21     3     0   src/libcharon/sa/child_sa.c:2047
 237   child_rekey_create                                            0.04     30     -      6     6     0   src/libcharon/sa/ikev2/tasks/child_rekey.c:1211
 238   plugin_feature_load                                           0.04    106     -     36     0     0   src/libstrongswan/plugins/plugin_feature.c:467
 239   plugin_feature_unload                                         0.04     82     -     36     0     0   src/libstrongswan/plugins/plugin_feature.c:585
 240   traffic_selector_create_from_string                           0.04     58     -     20     3     0   src/libstrongswan/selectors/traffic_selector.c:815
 241   hash_algorithm_set_create                                     0.04     17     -      5     6     0   src/libstrongswan/crypto/hashers/hash_algorithm_set.c:107
 242   pkcs1_private_key_load                                        0.04     88     -     30     1     0   src/libstrongswan/plugins/pkcs1/pkcs1_builder.c:339
 243   tls_create_private_key_enumerator                             0.04     58     -     15     4     0   src/libtls/tls_crypto.c:2809
 244   auth_cfg_create                                               0.04     17     -      5     6     0   src/libstrongswan/credentials/auth_cfg.c:1433
 245   proposal_create_v1                                            0.04     18     -      5     6     0   src/libstrongswan/crypto/proposal/proposal.c:977
 246   host_create_from_chunk                                        0.04     54     -     14     3     1   src/libstrongswan/networking/host.c:478
 247   signature_params_clone                                        0.04     21     -      4     6     0   src/libstrongswan/credentials/keys/signature_params.c:121
 248   cert_cache_create                                             0.04     25     -      4     6     0   src/libstrongswan/credentials/sets/cert_cache.c:477
